STT,Tên sản phẩm,Danh mục,Xuất xứ,Trọng lượng,Giá vốn (VNĐ),Giá bán (VNĐ),Mô tả sản phẩm,Cột 1
1,Trà Xanh Thái Nguyên Thượng Hạng,Trà Xanh,"Thái Nguyên, Việt Nam",200g,120000,250000,"Vị chát dịu, hậu ngọt sâu, mang hương cốm non đặc trưng của trà Tân Cương.",
2,Trà Shan Tuyết Cổ Thụ Hà Giang,Trà Xanh,"Hà Giang, Việt Nam",100g,150000,350000,"Hái từ cây cổ thụ, búp trà phủ lông tơ trắng, nước vàng sánh, hương thơm mộc mạc.",
3,Trà Xanh Ướp Hoa Lài,Trà Xanh,"Lâm Đồng, Việt Nam",250g,80000,160000,"Trà xanh xao kỹ ướp cùng hoa lài tươi tự nhiên, mang lại cảm giác thanh mát, thư giãn.",
4,Trà Sen Tây Hồ Bách Diệp,Trà Xanh,"Hà Nội, Việt Nam",100g,300000,800000,"Dòng trà xa xỉ ướp từ hoa sen Bách Diệp Hồ Tây, hương thơm tinh khiết, đậm đà vị truyền thống.",
5,Trà Xanh Bancha,Trà Xanh,"Shizuoka, Nhật Bản",200g,100000,220000,"Lá trà già thu hoạch muộn, lượng caffeine thấp, rất lành tính và phù hợp uống vào buổi tối.",
6,Trà Long Tỉnh Hàng Châu,Trà Xanh,"Hàng Châu, Trung Quốc",100g,250000,550000,"Búp trà dẹt phẳng, màu xanh mướt, pha ra nước trong, vị thanh ngọt và thoảng hương hạt dẻ.",
7,Trà Xanh Lộc Phát Pha Chế,Trà Xanh,"Bảo Lộc, Việt Nam",500g,90000,180000,"Trà xanh chuyên dụng cho pha chế trà chanh, trà đá tại các quán nước, giữ vị tốt khi thêm đá.",
8,Trà Đen Assam Đậm Vị,Trà Đen,Đài Loan,200g,110000,230000,"Vị đậm đà nồng nàn, màu nước đỏ tươi, là lựa chọn hoàn hảo để pha trà sữa truyền thống.",
9,Trà Bá Tước (Earl Grey),Trà Đen,Anh Quốc,150g,120000,260000,"Trà đen ướp tinh dầu cam Bergamot, mang hương vị hoàng gia sang trọng và quyến rũ.",
10,Trà Đen Ceylon,Trà Đen,Sri Lanka,250g,130000,280000,"Chát thanh tao, hậu ngọt êm, nước trà có màu sắc rực rỡ và hương thơm thoang thoảng.",
